Site #,Site Status,Site Activation Date,State,Country
43793,Enrolling,11-Apr-2017,WA,USA
43793,Enrolling,11-Apr-2017,WA,USA
43793,Enrolling,11-Apr-2017,WA,USA
43790,Enrolling,11-Jan-2017,NE,USA
43790,Enrolling,11-Jan-2017,NE,USA
43790,Enrolling,11-Jan-2017,NE,USA
43790,Enrolling,11-Jan-2017,NE,USA
43790,Enrolling,11-Jan-2017,NE,USA
43789,Enrolling,02-Nov-2016,NJ,USA
43789,Enrolling,02-Nov-2016,NJ,USA
43789,Enrolling,02-Nov-2016,NJ,USA
43789,Enrolling,02-Nov-2016,NJ,USA
